Asal Sekolah,Psikotest,TPA,IPS,Status
5,97,60,2.87,Tidak
108,103,60,3.36,Tidak
25,104,59.4,3.02,Tidak
51,101,56.6,2.06,Tidak
22,105,61,2.32,Tidak
5,103,57.4,1.76,Ya
74,96,54.6,2.21,Tidak
70,106,54.2,3.18,Tidak
6,104,54.8,2.30,Tidak
52,98,56,2.68,Tidak
109,103,61.6,2.49,Tidak
28,106,58.8,2.37,Tidak
64,110,66.4,3.02,Tidak
1,103,52.4,2.87,Tidak
22,115,64.8,3.87,Tidak
110,99,47.4,2.94,Tidak
111,100,47,3.19,Tidak
113,92,46.8,2.24,Tidak
1,98,47.2,2.30,Tidak
114,79,50,2.63,Tidak
159,98,55.2,1,Ya
3,100,43.2,1.97,Ya
6,100,47.4,1.94,Ya
51,96,51.2,1.5,Ya
51,96,51.2,1.21,Ya
